OBJECTID;X;Y;org_name;Name;addrln1;city;post_id;description;zip;latitude;longitude;POINT_X;POINT_Y
157242926;-117.819785056989417;34.030206967047924;NULL;YMCA Diamond Bar / Walnut;22600 Sunset Crossing Rd.;Diamond Bar;57085;The agency provides child care and recreational programs for people of all ages who live primarily in Diamond Bar, Phillips Ranch and Walnut.;91767;34.030207;-117.819785;6616273.99009997;1833422.24747406
157242932;-118.190314056058156;33.774381967180901;www.lbymca.org;YMCA Downtown Long Beach;225 E. 6th St.;Long Beach;57087;The agency provides child care and recreational programs for people of all ages who live primarily in Long Beach.;90802;33.774382;-118.190314;6503830.49024989;1740327.29127589
157242936;-117.988384057294567;34.145859966498904;www.ymcala.org/santaanita;YMCA Santa Anita Family;501 S. Mountain Ave.;Monrovia;;;;;;;
157242940;-118.092275556911858;34.149237026572209;www.ymcala.org/pas;Pasadena YMCA;2844 E Foothill Blvd;Pasadena;57090;The agency provides child care and recreational programs for youth in the Altadena, Pasadena and Sierra Madre areas.;91107;34.14923706;-118.0922755;6533751.36479121;1876703.40139714
157242941;-118.258744056384757;34.068269966618914;www.laparks.org/dos/reccenter/facility/echoParkRC.htm;Echo Park Youth Center;515 Laveta Terrace;Los Angeles;57091;The agency provides youth services for children ages 5 to 13 who live in the Echo Park area.;90026;34.06827;-118.258744;6483308.72814389;1847326.0162544
157242943;-118.144461057494311;34.693545965637561;www.alav.org;Assistance League Of Antelope Valley;808 W. Newgrove St.;Lancaster;57093;The agency provides early childhood education services for families who live in the Antelope Valley.;93534;34.693546;-118.144461;6518246.75505248;2074807.72270739
157242945;-118.201436055894817;33.766325967747804;www.chs-ca.org/;Children's Home Society Of California;330 Golden Shore;Long Beach;57094;The agency provides child care information and referral for families and eligible low income families who live in Artesia, Avalon, Bellflower, Cerritos, Hawaiian Gardens, Lakewood, Long Beach, Norwalk, San Pedro, Signal Hill, and Wilmington areas.;90802;33.766326;-118.201436;6500444.44387239;1737402.07402922
157242948;-118.13371105604007;34.019214966772665;www.maof.org;Mexican American Opportunity Foundation;401 N. Garfield Ave.;Montebello;;;;;;;
157242952;-118.154410056794305;34.017944967448337;www.maof.org;Mexican American Opportunity Foundation - Goodrich Family Resource Center;972 S. Goodrich Blvd.;City of Commerce;57103;The agency provides child care information and referral, early childhood education, education services, home improvement services, services for older adults, and WIA programs.;90022;34.017945;-118.15441;6514878.5091643;1828946.8463199
157242958;-118.45690205594893;34.018399967096435;www.connectionsforchildren.org;Connections For Children;2701 Ocean Park Blvd.;Santa Monica;57106;The agency provides child care information and referral, financial assistance, and technical assistance to individuals on the Westside and South Bay communities of Los Angeles County.;90405;34.0184;-118.456902;6423213.65706131;1829391.16498506
157242959;-118.209663056372491;34.046523967360606;www.CaliforniaChildrensAcademy.org;California Children's Academy - Early Learning Center;233 N. Breed St.;Los Angeles;57107;The agency provides child care services and early education development for children ages 6 weeks to 5 years who live in Arleta, Belmont, Boyle Heights, Canoga Park, City Terrace, East Los Angeles, Lincoln Heights, Maywood, North Hollywood, Pacoima, Panorama City, Pico Union District, San Fernando, Sylmar, Van Nuys and Whittier.;90033;34.046524;-118.209663;6498156.56426181;1839377.61023523
157242960;-118.439113055719901;34.2463159668578;www.CaliforniaChildrensAcademy.org;California Children's Academy - Obeck Child Care;9700 Obeck;Arleta;57108;The agency provides child care services and early education development for children ages 6 weeks to 5 years who live in Arleta, Belmont, Boyle Heights, Canoga Park, City Terrace, East Los Angeles, Lincoln Heights, Maywood, North Hollywood, Pacoima, Panorama City, Pico Union District, San Fernando, Sylmar, Van Nuys and Whittier.;91331;34.246316;-118.439113;6428966.62226139;1912309.22782314
157242961;-118.181278056118657;34.046390966764548;www.CaliforniaChildrensAcademy.org;California Children's Academy - Guadalupe Terrace;895 N. Bonnie Beach Pl.;Los Angeles;57109;The agency provides child care services and early education development for children ages 6 weeks to 5 years who live in Arleta, Belmont, Boyle Heights, Canoga Park, City Terrace, East Los Angeles, Lincoln Heights, Maywood, North Hollywood, Pacoima, Panorama City, Pico Union District, San Fernando, Sylmar, Van Nuys and Whittier.;90063;34.046391;-118.181278;6506755.20979413;1839312.48766206
157242962;-118.387996056757075;34.212683966788688;www.CaliforniaChildrensAcademy.org;California Children's Academy - Tlc;7817 Lankershim Blvd.;North Hollywood;;;;;;;
157242963;-118.599210056222844;34.20549796639353;www.CaliforniaChildrensAcademy.org;California Children's Academy - Sydney Irmas Center;7445 Alabama Ave.;Canoga Park;;;;;;;
157242964;-118.452598055780214;34.208599966903705;www.CaliforniaChildrensAcademy.org;California Children's Academy - Saticoy Village;14649 Saticoy St.;Van Nuys;;;;;;;
