OBJECTID;COMID;PERMANENT_;AREASQKM;REACHCODE;FTYPE;FCODE;OBJECTID_1;DESCRIPTIO;HYDROGRAPH;Shapearea;Shapelen;InLA
1963;27891016;27891016;0.002;1,81E+13;390;39001;3826;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;21126.5798210423;584.735537357022;Yes
1274;27687356;27687356;0.002;1,81E+13;390;39001;3137;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;16843.5714582671;585.24009679101;Yes
1880;27904036;27904036;0.002;1,81E+13;390;39001;3743;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;17539.9819832037;586.945214365488;Yes
1324;27686656;27686656;0.002;1,81E+13;436;43613;3187;Reservoir: Reservoir Type = Water Storage;;;;
1165;27912394;27912394;0.002;1,81E+13;390;39004;3028;Lake/Pond: Hydrographic Category = Perennial;Perennial;19927.251154418;588.234919811954;Yes
1448;27915686;27915686;0.002;1,81E+13;390;39001;3311;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;21617.4358124759;588.369805640416;Yes
1597;132735668;132735668;0.002;1,81E+13;390;39001;3460;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;21144.190703534;589.782171875836;Yes
1505;27913060;27913060;0.002;1,81E+13;390;39001;3368;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;19298.0419947659;590.182323016187;Yes
1141;132735487;132735487;0.002;1,81E+13;390;39001;3004;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;20611.596741797;590.501010557695;Yes
1400;27684806;27684806;0.002;1,81E+13;390;39001;3263;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;18902.7481163466;590.50892975113;Yes
1773;27906208;27906208;0.002;1,81E+13;390;39001;3636;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;20843.9859187399;590.541303857212;Yes
1261;132735501;132735501;0.002;1,81E+13;390;39001;3124;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;23765.3865836023;590.614236414963;Yes
1903;27911122;27911122;0.001;1,81E+13;390;39004;3766;Lake/Pond: Hydrographic Category = Perennial;Perennial;13324.3624831332;591.228378146891;Yes
1946;27915728;27915728;0.002;1,81E+13;390;39001;3809;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;21191.8270047005;596.279725816394;Yes
1971;27922812;27922812;0.002;1,81E+13;390;39001;3834;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;20296.4341891893;596.789921786194;Yes
1284;27903848;27903848;0.002;1,81E+13;390;39001;3147;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;22360.8871313846;598.605140585734;Yes
1515;27686778;27686778;0.002;1,81E+13;436;43613;3378;Reservoir: Reservoir Type = Water Storage;;;;
1853;27903946;27903946;0.002;1,81E+13;390;39001;3716;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;21305.7742250573;599.601131256155;Yes
1619;27912396;27912396;0.002;1,81E+13;390;39001;3482;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;21939.4531256241;599.840215268899;Yes
1858;27913032;27913032;0.002;1,81E+13;390;39001;3721;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;22495.0198327419;600.282150207371;Yes
1824;27555965;27555965;0.001;1,81E+13;390;39001;3687;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;15263.2972906065;602.162578229541;Yes
1327;120011609;120011609;0.001;1,81E+13;436;43624;3190;Reservoir;;;;
1129;27560451;27560451;0.001;1,81E+13;390;39001;2992;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;15795.6024289351;603.562921025628;Yes
1898;27687844;27687844;0.002;1,81E+13;390;39001;3761;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;21980.819965477;603.647519330339;Yes
1936;27904050;27904050;0.002;1,81E+13;390;39001;3799;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;18942.8677629804;604.321764169178;Yes
1344;27891066;27891066;0.002;1,81E+13;390;39001;3207;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;22776.1000762608;604.324870686043;Yes
1988;27560457;27560457;0.002;1,81E+13;390;39004;3851;Lake/Pond: Hydrographic Category = Perennial;Perennial;20420.9787714504;604.843318590812;Yes
1124;27106581;27106581;0.002;1,81E+13;390;39001;2987;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;21973.7088646732;608.10109230838;Yes
